draft	milestone	type	size	title	covers	justification	assigned
APP-@build-feature-freeze	V4	build	S	Freeze remaining native application and shell features for 1.0		V4 feature freeze after RC1: every APP feature in the 1.0 definition is done; no new shell or first-party application features after freeze.	APP-065
APP-@build-files-app	V0.5	build	M	Build the privileged File Browser that hands out storage capabilities	INV-0494,INV-1188	V0.5 demo native File Browser using capability-based storage objects (§60). The browser is a privileged holder of user storage authority and can hand Capabilities to other apps; UIP owns drag/drop protocol.	APP-006
APP-@build-first-party-native	V3	build	L	Implement the native first-party applications selected by the set Decision		GAP-0318 ADR at V2 selects which of viewer/player/archive/calculator/camera/disk utility/system monitor are native. V3 public alpha needs that native subset shipped; compat-bundled remainder is LNX/WIN.	APP-061
APP-@build-grant-log	V1	build	S	Build a grant log viewer for Capability audit events		V1 scope out says permissions UI beyond a log viewer; the log viewer itself is in. Full revoke/expiry/timeline Settings surface is V2 GAP-0229.	APP-012
APP-@build-grant-settings	V2	build	M	Build the Settings grant surface with revocation, expiry and timeline	GAP-0229	V2 permissions UI v1: list every persistent Capability grant per application with revocation, expiry and usage timeline from the audit trail. Policy is SEC; this is the user-facing surface.	APP-029
APP-@build-greeter-ui	V2	build	M	Build the login greeter UI over the identity service	GAP-0215	Workstreams.md Shell sub-scope includes greeter. GAP-0283 session management; SEC GAP-0215 owns identity/password/FIDO2. APP owns the compositor-integrated greeter chrome.	APP-030
APP-@build-hold-1-0	1.0	build	S	Hold shell and native application quality through the 1.0 soak		1.0 exit: V4 a11y and localisation gates hold on the release build; 30-day soak with zero open P0/P1 on Tier 1 includes shell and first-party apps. Compatibility integration (launcher, taskbar, notifications, file chooser) still holds.	APP-067
APP-@build-in-use-indicators	V2	build	S	Build persistent in-use indicators for camera, microphone and screen share		V2 gate: screen sharing shows a persistent indicator; MED camera service requires a shell in-use indicator. APP owns the shell chrome; GFX/SEC own the screen-capture Capability.	APP-031
APP-@build-l10n-shell	V4	build	M	Localize the shell and shipped native applications to ten languages		V4 exit: 10 languages at ≥ 95% string coverage for shell and native apps. TXT owns the localisation pipeline; APP ships translations for every first-party surface.	APP-066
APP-@build-launcher-search	V2	build	M	Extend the launcher with search and Personality icons	INV-0922	V2 shell: launcher with search. Windows and Linux apps appear with extracted icons (PE resources, .desktop icons) and no separate desktop (§49).	APP-032
APP-@build-launcher-v1	V1	build	M	Build the native launcher importing Linux personality .desktop entries	INV-0890	V1 scope: Git and a browser integrated into the launcher. Import .desktop entries so Linux packages appear as launchable native-chrome apps. Search and Personality icon polish are V2.	APP-013
APP-@build-lock-screen	V2	build	M	Build the compositor-enforced lock screen UI	GAP-0284	V2 lock screen: idle-triggered, lock-before-suspend, notification privacy, authentication via SEC identity. GFX GAP-0216 owns compositor enforcement that no app Surface renders above the lock.	APP-033
APP-@build-media-session	V2	build	M	Build the media session shell controls bound to media keys	GAP-0304	V2 shell media session (play/pause/next, now-playing) bound to hardware media keys and Bluetooth AVRCP. MPRIS bridge is LNX; AVRCP is HW/AUD; APP owns the shell surface.	APP-034
APP-@build-migration-ui	V3	build	M	Build the migration assistant UI over the installer import engine		Workstreams.md Applications sub-scope and critique MIG split: APP owns migration assistant UI; INS GAP-0414/0415 own Windows-profile and Linux-home import engines.	APP-062
APP-@build-multiuser-ui	V3	build	S	Build multi-user session switching with separate Capability stores		V3 exit: two users with separate sessions, Capability stores and encrypted data; switching preserves state. SEC owns session objects; APP owns switcher/greeter chrome for the second session.	APP-063
APP-@build-notify-service	V1	build	M	Build the Notify service with Capability-gated posting and history	GAP-0272	V1 daily-driving and L2 integration need notifications. Typed Notify interface requires Capability<Notifications>, semantic actions, do-not-disturb, persistent history, and survival across compositor restart. LNX owns compat bridges.	APP-014
APP-@build-power-ux	V2	build	M	Build power and battery UX mapped to ResourceDomain energy policy	GAP-0312	V2 laptop gate judged through this UI: battery estimates, power profiles mapped to ResourceDomain energy policy, per-application energy attribution, low-battery actions, lid-close, charge limits. PWR owns the mechanisms.	APP-035
APP-@build-print-dialog	V3	build	M	Build the OS-owned print dialog minting per-job print capabilities		Critique PRT split: APP owns the print dialog that grants Capability<PrintJob> for a single job the way the file chooser grants file authority. HW GAP-0268 owns discovery (IPP/eSCL/USB).	APP-064
APP-@build-quick-settings	V2	build	M	Build quick settings and status indicators		GAP-0282 and workstreams.md Shell sub-scope: quick settings and status indicators (network, battery, volume, Bluetooth, input method) for the V2 polished shell.	APP-036
APP-@build-safe-mode-ui	V2	build	S	Build the safe-mode recovery shell with settings, logs and restore		Critique missing requirement 16 and workstreams.md: when shell or compositor exhausts its restart budget, SVC starts a minimal recovery shell. APP owns that recovery UI (settings, log export, os restore).	APP-037
APP-@build-screenshot-ui	V2	build	S	Build screenshot and screen-recording UI over screen-capture Capability		V2 screen sharing and recording as explicit capabilities with indicator. APP owns the user-facing capture UI; GFX/SEC own the Capability; MED owns encode.	APP-038
APP-@build-semantic-apps	V1	build	S	Expose Semantic interfaces for Terminal.run and Editor.open		V1 gate: an automation script invokes Terminal.run and Editor.open through typed interfaces without GUI input. SEM owns registry and IDL; APP implements the two proof interfaces.	APP-015
APP-@build-session-flows	V2	build	M	Build logout, shutdown, inhibitors, auto-login and session restore	GAP-0283	V2 session management: logout/shutdown/reboot with inhibitors, session restore, optional auto-login, fast user switching. Identity and FDE are SEC; generation restore UX is INS.	APP-039
APP-@build-session-host	V0.5	build	S	Build a minimal session host that launches the four demo applications		V0.5 demo boots to a native desktop showing Terminal, File Browser, Text Editor and Image Viewer. Critique warns against a full shell here; this is a session host, not panel/launcher/lock.	APP-007
APP-@build-settings-app	V2	build	M	Build the Settings application chassis as per-panel Components	GAP-0279	V2 Settings application composed of per-panel Components each holding only that panel's capabilities (§11). Chassis plus appearance, keyboard, region, date/time, about; device panels are a sibling task.	APP-040
APP-@build-settings-devices	V2	build	M	Build Settings panels for displays, network, Bluetooth, sound and printers		GAP-0279 remaining panels that consume GFX/NET/HW/AUD device services. Each panel is a Component with only its panel's capabilities; discovery stacks stay in those prefixes.	APP-041
APP-@build-shell-osd	V2	build	S	Build on-screen display overlays for volume, brightness and lock		V2 polished shell (workstreams.md Shell sub-scope, §62): hardware volume/brightness/lock keys must show OSD overlays without granting apps a global overlay Capability.	APP-042
APP-@build-shell-panel	V2	build	M	Build the desktop panel and taskbar with Personality integration	GAP-0282,INV-0921	V2 polished shell (§62): panel/taskbar. Windows and Linux applications must integrate with the native taskbar (§49). Sibling tasks cover launcher, workspaces, quick settings and tray.	APP-043
APP-@build-shortcut-ui	V2	build	S	Build the Settings UI for named global shortcut bindings		UIP GAP-0286: apps request named actions bound by the user in Settings and never receive raw global key grabs. APP owns the Settings binding UI for the V2 shell (media, screenshots, picker).	APP-044
APP-@build-store-client	V2	build	M	Build the store client with install-time Capability review	INV-1228	V2 gate: native repository/app store client; capability requests shown and deniable at install, app still launches degraded when optional. Workstreams.md Applications sub-scope. REL/PKG own repository and packages (INV-1228).	APP-045
APP-@build-terminal-daily	V1	build	M	Extend Terminal for daily development with tabs, splits and graphics	GAP-0310,INV-1196	V1 self-hosted terminal for daily development. Feature bar (GPU text, tabs/splits, OSC 8, Sixel/Kitty, true colour, PTY bridge) is the V1 daily-driving gate, not the V0.5 demo.	APP-016
APP-@build-thin-panel	V1	build	S	Build a thin panel with a running-application list for daily driving		V1 scope sentence requires a shell mature enough for daily work. This is a running-app list, not the V2 polished panel with status indicators.	APP-017
APP-@build-tray-host	V2	build	M	Build the status-tray host according to the tray Decision		Implements decide-status-tray. Linux and Windows tray clients must either appear in the native host or be explicitly denied; the Decision is accepted before this ships.	APP-046
APP-@build-update-prompt	V2	build	S	Build the running-application update prompt for generation switches		Critique missing requirement 17 and PKG EXTRA-017: when a Package is replaced by a new SystemGeneration, APP shows the restart/defer prompt so no running Component observes a mixed-version tree.	APP-047
APP-@build-ux-script	V2	build	M	Run the 40-scenario desktop UX script on the three target machines	INV-1213	V2 exit: desktop shell passes the 40-scenario UX script (launch, switch, notify, settings, lock, unlock, external display, scaling) on all three target machines with zero P0/P1. Verifies the polished shell (§62).	APP-048
APP-@build-webview	V2	build	M	Build the sandboxed native WebView Component		GAP-0307 native sandboxed WebView for apps, after the V1 browser ADR and spike-webview. Not a native browser; in-app web content as a Capability-scoped Component.	APP-049
